ID,Teks Asli,ID_AN,NoAg,Type,Teks_Hasil_Augmentasi,Verifikasi
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag1,Ag 1,Interogatif,Seberapa sering Anda kurang berminat atau kurang bergairah dalam melakukan berbagai hal?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag2,Ag 2,Interogatif,Apakah Anda merasakan penurunan minat atau kegembiraan dalam aktivitas sehari-hari?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag3,Ag 3,Interogatif,"Dalam beberapa waktu terakhir, seberapa sering Anda kehilangan minat atau antusiasme terhadap kegiatan yang biasanya Anda nikmati?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag4,Ag 4,Interogatif,Seberapa sering Anda merasa tidak tertarik atau tidak bersemangat untuk melakukan sesuatu?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag5,Ag 5,Interogatif,Pernahkah Anda merasa kurangnya gairah atau kesenangan dalam menjalankan rutinitas harian?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag6,Ag 6,Interogatif,Seberapa sering Anda mendapati diri Anda tidak termotivasi atau tidak bersemangat untuk melakukan apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag7,Ag 7,Interogatif,Apakah Anda mengalami kehilangan minat atau kesenangan dalam melakukan aktivitas yang biasa Anda sukai?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag8,Ag 8,Interogatif,Seberapa sering Anda merasa hampa atau kurangnya ketertarikan pada hal-hal di sekitar Anda?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag9,Ag 9,Interogatif,"Dalam periode waktu ini, apakah Anda merasa kurangnya keinginan atau dorongan untuk melakukan kegiatan apapun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag10,Ag 10,Interogatif,"Seberapa sering Anda merasa bosan atau tidak antusias, bahkan terhadap hal-hal yang sebelumnya menarik bagi Anda?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag1,Ag 1,Interogatif,Seberapa sering Anda mengalami kurangnya ketertarikan atau gairah untuk melakukan aktivitas apapun selama dua minggu terakhir?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag2,Ag 2,Interogatif,"Dalam dua minggu terakhir, apakah Anda merasa tidak berminat atau tidak bersemangat menjalankan kegiatan apa pun?",
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag3,Ag 3,Interogatif,Apakah selama dua minggu terakhir Anda sering kali tidak tertarik atau kehilangan semangat untuk melakukan aktivitas apapun?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag4,Ag 4,Interogatif,Seberapa kerap Anda merasa tidak memiliki minat maupun antusiasme untuk melakukan hal apapun dalam jangka dua minggu terakhir?,
1,Kurang berminat atau bergairah dalam melakukan apapun,Q1_Ag5,Ag 5,Interogatif,"Selama dua minggu terakhir, seberapa sering Anda merasa kehilangan ketertarikan atau semangat untuk melakukan aktivitas apapun?",
