id,aug_id,text,aug_text
1,1,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda kurang berminat atau kurang bergairah dalam melakukan berbagai hal?
1,2,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda merasakan penurunan minat atau kegembiraan dalam aktivitas sehari-hari?
1,3,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam beberapa waktu terakhir, seberapa sering Anda kehilangan minat atau antusiasme terhadap kegiatan yang biasanya Anda nikmati?"
1,4,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa tidak tertarik atau tidak bersemangat untuk melakukan sesuatu?
1,5,Kurang berminat atau bergairah dalam melakukan apapun,Pernahkah Anda merasa kurangnya gairah atau kesenangan dalam menjalankan rutinitas harian?
1,6,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda mendapati diri Anda tidak termotivasi atau tidak bersemangat untuk melakukan apapun?
1,7,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda mengalami kehilangan minat atau kesenangan dalam melakukan aktivitas yang biasa Anda sukai?
1,8,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa hampa atau kurangnya ketertarikan pada hal-hal di sekitar Anda?
1,9,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam periode waktu ini, apakah Anda merasa kurangnya keinginan atau dorongan untuk melakukan kegiatan apapun?"
1,10,Kurang berminat atau bergairah dalam melakukan apapun,"Seberapa sering Anda merasa bosan atau tidak antusias, bahkan terhadap hal-hal yang sebelumnya menarik bagi Anda?"
1,11,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda mengalami kurangnya ketertarikan atau gairah untuk melakukan aktivitas apapun selama dua minggu terakhir?
1,12,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam dua minggu terakhir, apakah Anda merasa tidak berminat atau tidak bersemangat menjalankan kegiatan apa pun?"
1,13,Kurang berminat atau bergairah dalam melakukan apapun,Apakah selama dua minggu terakhir Anda sering kali tidak tertarik atau kehilangan semangat untuk melakukan aktivitas apapun?
1,14,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa kerap Anda merasa tidak memiliki minat maupun antusiasme untuk melakukan hal apapun dalam jangka dua minggu terakhir?
1,15,Kurang berminat atau bergairah dalam melakukan apapun,"Selama dua minggu terakhir, seberapa sering Anda merasa kehilangan ketertarikan atau semangat untuk melakukan aktivitas apapun?"
1,16,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam dua minggu terakhir, apakah Anda kerap merasa tidak berminat serta tidak bersemangat melakukan kegiatan apa pun?"
1,17,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda merasa jarang tertarik atau bersemangat melakukan hal apapun selama dua minggu terakhir?
1,18,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering dalam dua minggu terakhir Anda mengalami bahwa Anda kurang antusias atau tidak berminat dalam melakukan kegiatan apapun?
1,19,Kurang berminat atau bergairah dalam melakukan apapun,"Selama dua minggu terakhir, apakah Anda sering kehilangan minat atau semangat dalam melakukan aktivitas apapun?"
1,20,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam dua minggu terakhir, seberapa sering Anda merasa tidak berminat maupun kehilangan gairah untuk melakukan kegiatan apa pun?"
1,21,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa kurang tertarik atau antusias dalam melakukan berbagai hal?
1,22,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda mengalami penurunan minat atau kegembiraan dalam aktivitas sehari-hari?
1,23,Kurang berminat atau bergairah dalam melakukan apapun,Dalam frekuensi apa Anda kehilangan minat atau kesenangan saat melakukan sesuatu?
1,24,Kurang berminat atau bergairah dalam melakukan apapun,Pernahkah Anda merasa tidak berminat atau tidak bersemangat untuk melakukan kegiatan apapun?
1,25,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa kerap Anda merasa hampa atau kurang antusiasme terhadap hal-hal yang biasanya Anda nikmati?
1,26,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda mendapati diri Anda kurang termotivasi atau bergairah dalam menjalankan rutinitas?
1,27,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa tidak ada keinginan atau gairah untuk melakukan aktivitas apapun?
1,28,Kurang berminat atau bergairah dalam melakukan apapun,Adakah waktu di mana Anda merasa kehilangan minat atau semangat dalam melakukan hal-hal yang Anda sukai?
1,29,Kurang berminat atau bergairah dalam melakukan apapun,Berapa kali Anda merasakan ketiadaan minat atau kegairahan dalam beraktivitas?
1,30,Kurang berminat atau bergairah dalam melakukan apapun,Apakah Anda sering merasa enggan atau tidak bersemangat untuk terlibat dalam kegiatan?
1,31,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa kurang berhasrat atau bersemangat dalam melakukan kegiatan apapun?
1,32,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa kerap Anda kehilangan ketertarikan atau antusiasme dalam melakukan sesuatu?
1,33,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam periode waktu tertentu, seberapa sering Anda merasa tidak tertarik atau tidak bersemangat untuk beraktivitas?"
1,34,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda mengalami ketiadaan gairah atau minat dalam melakukan berbagai hal?
1,35,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa tidak ada dorongan atau semangat untuk melakukan apapun?
1,36,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa kerap Anda merasa apatis atau kurang antusias dalam menjalani hari?
1,37,Kurang berminat atau bergairah dalam melakukan apapun,"Dalam kurun waktu ini, seberapa sering Anda merasa kehilangan semangat atau minat terhadap aktivitas?"
1,38,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa tidak ada kesenangan atau ketertarikan dalam melakukan hal apapun?
1,39,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa kerap Anda merasa kurang termotivasi atau tidak bersemangat dalam melakukan kegiatan?
1,40,Kurang berminat atau bergairah dalam melakukan apapun,Seberapa sering Anda merasa kehilangan antusiasme atau minat dalam melakukan sesuatu?
